Feature,IC_Original,Abs_IC_Original
賣超第8名分點前6天買金額(千),0.033041368871929565,0.033041368871929565
買超第3名分點前15天賣均值(千),0.03303315773405962,0.03303315773405962
買超第2名分點前7天賣均價,0.03303246032307661,0.03303246032307661
賣超第10名分點前4天賣均價,0.03302699551118003,0.03302699551118003
買超第2名分點前13天賣張,0.03302013249614648,0.03302013249614648
買超第4名分點前17天買均張,0.03301704363245412,0.03301704363245412
賣超第4名分點前9天買金額(千),0.03301666593317288,0.03301666593317288
買超第9名分點前4天賣均價,0.033015817043436674,0.033015817043436674
買超第4名分點前20天賣均值(千),0.03301533248759803,0.03301533248759803
買超第6名分點前20天買均張,0.03301361507642024,0.03301361507642024
買超第7名分點前14天賣均值(千),0.033010917528593024,0.033010917528593024
買超第13名分點前6天賣張,0.032994389070552486,0.032994389070552486
賣超第13名分點前5天買張,0.03298730140139399,0.03298730140139399
買超第10名分點前5天賣均價,0.03297853189920296,0.03297853189920296
買超第1名分點前8天賣均價,0.032963326482664125,0.032963326482664125
買超第15名分點前5天賣張,0.032962828490290384,0.032962828490290384
買超第5名分點前18天賣張,0.03293280258487058,0.03293280258487058
買超第13名分點前5天賣均值(千),0.032924807725298204,0.032924807725298204
買超第2名分點前8天賣均值(千),0.032923889228267646,0.032923889228267646
賣超第8名分點前8天買均張,0.03292046755170988,0.03292046755170988
買超第12名分點前6天賣張,0.03291256035943271,0.03291256035943271
買超第9名分點前3天買均價,0.03290987235603119,0.03290987235603119
買超第5名分點前18天賣均值(千),0.03290573524074159,0.03290573524074159
買超第8名分點前9天賣均值(千),0.03290276421284988,0.03290276421284988
買超第12名分點前10天賣張,0.032896676175735114,0.032896676175735114
買超第1名分點前11天賣均張,0.03288977260307217,0.03288977260307217
賣超第2名分點前2天賣均價,0.03288496586460541,0.03288496586460541
買超第12名分點前10天賣金額(千),0.0328843206844031,0.0328843206844031
買超第9名分點前7天賣均價,0.0328787678409616,0.0328787678409616
賣超第2名分點前10天買均值(千),0.03287804823559579,0.03287804823559579
賣超第3名分點前10天買張,0.03286438451740249,0.03286438451740249
買超第13名分點前9天賣金額(千),0.03285850889448892,0.03285850889448892
賣超第8名分點前8天買均值(千),0.032854528920245124,0.032854528920245124
賣超第5名分點前9天買均價,0.03284448403638368,0.03284448403638368
買超第9名分點前13天賣張,0.03283632097951687,0.03283632097951687
賣超第5名分點前19天賣均張,0.032834836842165344,0.032834836842165344
買超第6名分點前16天賣均價,0.032833911901464896,0.032833911901464896
買超第1名分點前13天賣均張,0.03282483806479079,0.03282483806479079
賣超第5名分點前17天賣均張,0.03282481050983963,0.03282481050983963
賣超第5名分點前3天賣均價,0.032823113331092266,0.032823113331092266
賣超第3名分點前7天買均值(千),0.03282121069895238,0.03282121069895238
買超第8名分點前10天賣金額(千),0.032820226265829054,0.032820226265829054
買超第5名分點前15天賣均價,0.03281263665358868,0.03281263665358868
買超第4名分點前13天賣張,0.0327983047801831,0.0327983047801831
買超第8名分點前8天賣均張,0.032794226573095116,0.032794226573095116
買超第9名分點前14天賣均值(千),0.032790432743457894,0.032790432743457894
買超第6名分點前18天買均張,0.0327885555892006,0.0327885555892006
買超第13名分點前7天賣張,0.032785620208308365,0.032785620208308365
賣超第10名分點前3天買均張,0.0327850253110005,0.0327850253110005
賣超第1名分點前10天買均值(千),0.032775531361329754,0.032775531361329754
買超第9名分點前13天賣金額(千),0.03276773025996514,0.03276773025996514
賣超第13名分點前4天賣均價,0.03275771484050005,0.03275771484050005
賣超第7名分點前5天買均張,0.03275502286664055,0.03275502286664055
買超第15名分點前4天賣張,0.032749330740514115,0.032749330740514115
買超第5名分點前20天買均張,0.03274888973330921,0.03274888973330921
賣超第4名分點前14天賣均張,0.032747266310596136,0.032747266310596136
買超第8名分點前3天買均價,0.03274640348775032,0.03274640348775032
買超第8名分點前10天賣張,0.03274513497657915,0.03274513497657915
買超第3名分點前19天賣張,0.03274024619564945,0.03274024619564945
賣超第4名分點前15天賣均張,0.032738746144598214,0.032738746144598214
賣超第7名分點前10天買均張,0.03273468988723673,0.03273468988723673
賣超第7名分點前5天買均值(千),0.0327339050080067,0.0327339050080067
賣超第1名分點前11天買金額(千),0.03273023201645551,0.03273023201645551
買超第4名分點前15天賣均價,0.03272858706365505,0.03272858706365505
買超第11名分點前19天買均張,0.03272508272421529,0.03272508272421529
買超第14名分點前7天賣張,0.032716682397572985,0.032716682397572985
賣超第9名分點前4天買均值(千),0.032716047479551175,0.032716047479551175
賣超第6名分點前11天買張,0.032711995817565974,0.032711995817565974
買超第2名分點前16天買均張,0.03271079645107803,0.03271079645107803
買超第4名分點前20天買均張,0.032690958775577546,0.032690958775577546
買超第2名分點前13天賣均值(千),0.03266912898932843,0.03266912898932843
買超第2名分點前12天賣金額(千),0.032648729478576145,0.032648729478576145
買超第15名分點前5天賣均值(千),0.03264517129636651,0.03264517129636651
買超第1名分點前19天賣均值(千),0.03263600108629753,0.03263600108629753
買超第11名分點前8天賣均價,0.03261617733616959,0.03261617733616959
買超第11名分點前11天賣金額(千),0.03259952471885001,0.03259952471885001
買超第7名分點前10天賣均張,0.0325960096954524,0.0325960096954524
買超第2名分點前18天賣張,0.03258365447110352,0.03258365447110352
買超第4名分點前18天買均張,0.03258195341843215,0.03258195341843215
賣超第4名分點前3天賣均價,0.03258163001090637,0.03258163001090637
買超第4名分點前13天賣金額(千),0.03257820519069698,0.03257820519069698
賣超第11名分點前5天買金額(千),0.03257698546655262,0.03257698546655262
買超第2名分點前18天賣均值(千),0.03257420950296505,0.03257420950296505
賣超第1名分點前10天買張,0.03257164637223382,0.03257164637223382
買超第2名分點前17天買均張,0.03256701930845508,0.03256701930845508
賣超第15名分點買均價,0.03256303890404602,0.03256303890404602
買超第12名分點前8天賣張,0.03256221606290245,0.03256221606290245
買超第1名分點前2天買均價,0.03255633204940429,0.03255633204940429
買超第12名分點前9天賣張,0.032546899285312604,0.032546899285312604
買超第3名分點前15天賣均張,0.03254501753981277,0.03254501753981277
賣超第5名分點前10天買金額(千),0.03254075102673488,0.03254075102673488
賣超第3名分點前18天買均張,0.03253198265018515,0.03253198265018515
買超第3名分點前18天買均張,0.032530752731031815,0.032530752731031815
買超第12名分點前11天賣均值(千),0.032526093903070014,0.032526093903070014
買超第12名分點前9天賣均值(千),0.03252284588680707,0.03252284588680707
買超第6名分點前11天賣張,0.03252221122853121,0.03252221122853121
買超第1名分點前14天賣均張,0.03252079538749335,0.03252079538749335
賣超第8名分點前3天買均價,0.03251834351683321,0.03251834351683321
賣超第1名分點前2天賣均價,0.03251119360582695,0.03251119360582695
買超第3名分點前19天賣金額(千),0.032510995081614875,0.032510995081614875
買超第3名分點前18天賣均值(千),0.032467453995835775,0.032467453995835775
賣超第7名分點前9天買均張,0.03246392605974679,0.03246392605974679
買超第3名分點前12天賣張,0.032461782199636496,0.032461782199636496
賣超第10名分點前5天賣均價,0.0324540743251215,0.0324540743251215
買超第8名分點前6天賣金額(千),0.03245088402903497,0.03245088402903497
買超第7名分點前15天賣張,0.03244844540633747,0.03244844540633747
賣超第6名分點前7天買張,0.03244052425423626,0.03244052425423626
買超第2名分點前15天賣金額(千),0.032439422008223605,0.032439422008223605
主力券商_前8天分點進出,0.03243729336626583,0.03243729336626583
買超第15名分點前4天賣均值(千),0.03243155733073868,0.03243155733073868
買超第8名分點前6天賣張,0.03243128640264402,0.03243128640264402
賣超第6名分點前14天買均值(千),0.03242957422205499,0.03242957422205499
買超第3名分點前17天賣張,0.03241614766239819,0.03241614766239819
買超第13名分點前8天賣均張,0.03241039290475187,0.03241039290475187
買超第12名分點前6天賣均值(千),0.032409960465329624,0.032409960465329624
主力券商_前6天分點進出,0.03240672958606756,0.03240672958606756
賣超第14名分點前1天買均價,0.03239925523694696,0.03239925523694696
買超第12名分點前8天賣均值(千),0.032397203778136555,0.032397203778136555
買超第14名分點前5天賣均張,0.03238296464408258,0.03238296464408258
買超第5名分點前18天買均張,0.03237245771983072,0.03237245771983072
買超第1名分點前11天賣均價,0.03237096381618852,0.03237096381618852
賣超第8名分點前6天買均張,0.03236533267197604,0.03236533267197604
買超第11名分點前20天買均張,0.03236223535086428,0.03236223535086428
買超第5名分點前3天買均價,0.032359420498791217,0.032359420498791217
買超第11名分點前6天賣張,0.03235118317015584,0.03235118317015584
賣超第2名分點前10天買均張,0.032348893688142144,0.032348893688142144
買超第4名分點前17天賣均價,0.03234256339298413,0.03234256339298413
買超第11名分點前5天賣張,0.03233098044431122,0.03233098044431122
買超第10名分點前4天賣均價,0.03232916125760456,0.03232916125760456
買超第15名分點前6天賣張,0.032321967224666216,0.032321967224666216
賣超第6名分點前11天買金額(千),0.032318912569854086,0.032318912569854086
賣超第11名分點前5天買均張,0.032318597689963,0.032318597689963
買超第4名分點前12天賣金額(千),0.032312113819816336,0.032312113819816336
買超第15名分點前9天賣金額(千),0.032311821746983604,0.032311821746983604
買超第15名分點前3天買均價,0.03230043826690471,0.03230043826690471
買超第4名分點前12天賣張,0.032296487156922356,0.032296487156922356
買超第3名分點前15天買均張,0.032295192533817615,0.032295192533817615
賣超第5名分點前18天賣均張,0.03229214964716713,0.03229214964716713
買超第7名分點前3天買均價,0.032291901334300294,0.032291901334300294
賣超第3名分點前7天買均張,0.03226833054794584,0.03226833054794584
買超第2名分點前19天賣金額(千),0.032265122221908825,0.032265122221908825
買超第6名分點前11天賣金額(千),0.032252105023166264,0.032252105023166264
賣超第8名分點前5天買張,0.03225034347751675,0.03225034347751675
賣超第11名分點前2天買均價,0.03224205373879587,0.03224205373879587
賣超第4名分點前9天買均值(千),0.032235815905379925,0.032235815905379925
買超第3名分點前18天賣張,0.032217152957432785,0.032217152957432785
賣超第2名分點前15天買張,0.03221491578809376,0.03221491578809376
賣超第4名分點前9天買均張,0.03221128337997042,0.03221128337997042
買超第6名分點前3天買均價,0.03221103010036443,0.03221103010036443
個股券商分點區域分析_近1日賣超5分點區域密度,0.0322065736020152,0.0322065736020152
賣超第7名分點前8天買均張,0.03220384021908369,0.03220384021908369
買超第7名分點前8天賣均價,0.03220073429580754,0.03220073429580754
賣超第13名分點前5天買金額(千),0.03219970222357706,0.03219970222357706
賣超第9名分點前5天買張,0.0321968177426542,0.0321968177426542
買超第4名分點前14天賣均張,0.032185770987999004,0.032185770987999004
賣超第7名分點前8天買均值(千),0.032184954261155765,0.032184954261155765
賣超第7名分點前17天賣均張,0.03217551188224774,0.03217551188224774
賣超第7名分點前9天買均值(千),0.032164417528841645,0.032164417528841645
買超第1名分點前19天賣均張,0.03214628110485217,0.03214628110485217
賣超第9名分點前4天買均張,0.03214341646305759,0.03214341646305759
賣超第10名分點前8天買均值(千),0.03214334153851016,0.03214334153851016
賣超第6名分點前3天買均價,0.03214022359168408,0.03214022359168408
日自營_自營商買均價,0.03213366706874817,0.03213366706874817
買超第2名分點前13天賣均張,0.03213232702382022,0.03213232702382022
買超第15名分點前8天賣張,0.03213153282744687,0.03213153282744687
賣超第3名分點前9天買均價,0.032129400026350556,0.032129400026350556
買超第4名分點前18天賣金額(千),0.032129268065278216,0.032129268065278216
賣超第3名分點前18天賣均張,0.03212695333912551,0.03212695333912551
買超第3名分點前20天賣金額(千),0.03212504703684336,0.03212504703684336
買超第9名分點前10天賣均價,0.03211329446075436,0.03211329446075436
買超第15名分點前6天賣金額(千),0.03211253605655447,0.03211253605655447
賣超第13名分點前5天賣均價,0.03211151461999409,0.03211151461999409
買超第12名分點前10天賣均值(千),0.032108445902227827,0.032108445902227827
賣超第12名分點前4天買張,0.03210644567102547,0.03210644567102547
賣超第6名分點前7天買金額(千),0.032105114371524496,0.032105114371524496
